IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.212.164,443,443,true,FRA,Europe,Frankfurt,281,5.21
34.116.180.70,443,443,true,FRA,Europe,Frankfurt,346,5.21
34.118.113.206,443,443,true,FRA,Europe,Frankfurt,280,5.21
34.116.234.142,443,443,true,FRA,Europe,Frankfurt,271,5.20
34.116.167.118,443,443,true,FRA,Europe,Frankfurt,281,5.20
34.65.33.56,443,443,true,FRA,Europe,Frankfurt,296,5.20
34.116.177.21,443,443,true,FRA,Europe,Frankfurt,343,5.20
34.141.3.231,443,443,true,FRA,Europe,Frankfurt,252,5.19
34.116.180.70,443,443,true,FRA,Europe,Frankfurt,281,5.19
34.154.69.244,443,443,true,FRA,Europe,Frankfurt,257,5.18
34.91.253.69,443,443,true,FRA,Europe,Frankfurt,256,5.18
34.32.211.101,443,443,true,FRA,Europe,Frankfurt,269,5.18
34.116.212.164,443,443,true,FRA,Europe,Frankfurt,311,5.17
34.34.67.135,443,443,true,FRA,Europe,Frankfurt,256,5.17
34.154.80.117,443,443,true,FRA,Europe,Frankfurt,254,5.17
34.32.159.10,443,443,true,FRA,Europe,Frankfurt,281,5.16
34.116.206.190,443,443,true,FRA,Europe,Frankfurt,319,5.16
34.118.77.9,443,443,true,FRA,Europe,Frankfurt,358,5.15
34.154.31.203,443,443,true,FRA,Europe,Frankfurt,262,5.14
34.141.191.161,443,443,true,FRA,Europe,Frankfurt,258,5.13
34.91.49.243,443,443,true,FRA,Europe,Frankfurt,256,5.13
34.89.207.65,443,443,true,FRA,Europe,Frankfurt,266,5.13
34.116.134.235,443,443,true,FRA,Europe,Frankfurt,339,5.13
34.65.129.106,443,443,true,FRA,Europe,Frankfurt,265,5.12
34.90.215.54,443,443,true,FRA,Europe,Frankfurt,256,5.12
34.116.149.83,443,443,true,FRA,Europe,Frankfurt,271,5.12
34.147.107.71,443,443,true,FRA,Europe,Frankfurt,276,5.12
34.118.105.94,443,443,true,FRA,Europe,Frankfurt,340,5.11
34.118.125.54,443,443,true,FRA,Europe,Frankfurt,284,5.10
34.65.126.230,443,443,true,FRA,Europe,Frankfurt,277,5.10
34.154.188.103,443,443,true,FRA,Europe,Frankfurt,250,5.09
35.204.164.255,443,443,true,FRA,Europe,Frankfurt,256,5.09
34.154.37.15,443,443,true,FRA,Europe,Frankfurt,260,5.07
34.34.105.195,443,443,true,FRA,Europe,Frankfurt,260,5.07
34.90.28.84,443,443,true,FRA,Europe,Frankfurt,258,5.07
34.147.33.140,443,443,true,FRA,Europe,Frankfurt,284,5.06
34.159.75.35,443,443,true,FRA,Europe,Frankfurt,320,5.06
34.154.108.66,443,443,true,FRA,Europe,Frankfurt,258,5.05
34.118.68.179,443,443,true,FRA,Europe,Frankfurt,325,5.05
34.118.26.33,443,443,true,FRA,Europe,Frankfurt,270,5.04
34.147.92.154,443,443,true,FRA,Europe,Frankfurt,280,5.04
34.34.78.222,443,443,true,FRA,Europe,Frankfurt,260,5.04
34.65.157.49,443,443,true,FRA,Europe,Frankfurt,252,5.03
